MacBook-Air-Maxim:module_08 kme$ docker-compose logs -t
Attaching to service_main, service_presentation, service_author
service_main            | 2023-05-21T20:49:15.583401126Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:15.616367707Z WARNING:root:
service_main            | 2023-05-21T20:49:16.620571738Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:16.664139829Z WARNING:root:
service_main            | 2023-05-21T20:49:17.676798460Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:17.699088395Z WARNING:root:
service_main            | 2023-05-21T20:49:18.702146883Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:18.733556803Z WARNING:root:
service_main            | 2023-05-21T20:49:19.738155868Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:19.765732810Z WARNING:root:
service_main            | 2023-05-21T20:49:20.769952758Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:20.792855110Z WARNING:root:
service_main            | 2023-05-21T20:49:21.796267406Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:21.826741059Z WARNING:root:
service_main            | 2023-05-21T20:49:22.830412351Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:22.855167606Z WARNING:root:
service_main            | 2023-05-21T20:49:23.858369542Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:23.875261433Z WARNING:root:
service_main            | 2023-05-21T20:49:24.879810522Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:24.894155253Z WARNING:root:
service_main            | 2023-05-21T20:49:25.897318614Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:25.919997953Z WARNING:root:
service_main            | 2023-05-21T20:49:26.759288163Z Moore
service_main            | 2023-05-21T20:49:26.759318430Z INFO:     172.21.0.1:55646 - "GET /presentationsAndAuthor/First%20Presentation HTTP/1.1" 200 OK
service_main            | 2023-05-21T20:49:26.923704673Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:26.950945772Z WARNING:root:
service_main            | 2023-05-21T20:49:27.959955170Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:27.982146857Z WARNING:root:
service_main            | 2023-05-21T20:49:28.316972958Z Moore
service_main            | 2023-05-21T20:49:28.317008896Z INFO:     172.21.0.1:55654 - "GET /presentationsAndAuthor/First%20Presentation HTTP/1.1" 200 OK
service_main            | 2023-05-21T20:49:29.001175908Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:29.016488102Z WARNING:root:
service_main            | 2023-05-21T20:49:29.428896218Z Moore
service_main            | 2023-05-21T20:49:29.428967080Z INFO:     172.21.0.1:55662 - "GET /presentationsAndAuthor/First%20Presentation HTTP/1.1" 200 OK
service_main            | 2023-05-21T20:49:30.019725506Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:30.047049116Z WARNING:root:
service_main            | 2023-05-21T20:49:31.051959307Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:31.079734406Z WARNING:root:
service_main            | 2023-05-21T20:49:32.072924477Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:32.137773144Z WARNING:root:
service_main            | 2023-05-21T20:49:33.148098852Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:33.175500399Z WARNING:root:
service_main            | 2023-05-21T20:49:34.185184988Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:34.218122099Z WARNING:root:
